,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
600,48.0,25.0,7.1066,50.0,-31.215
601,48.0,1.0,99.135,90.0,-8.6
602,48.0,5.0,85.909,90.0,-20.25
603,48.0,10.0,81.459,90.0,-8.6
604,48.0,15.0,71.199,90.0,-8.415
605,48.0,25.0,13.226,90.0,-8.23
606,72.0,1.0,96.193,30.0,-4.58
607,72.0,5.0,80.584,30.0,-4.58
608,72.0,10.0,74.112,30.0,-24.5
609,72.0,15.0,65.609,30.0,-24.5
610,72.0,25.0,5.4569,30.0,-33.33
611,72.0,1.0,96.701,50.0,-12.32
612,72.0,5.0,82.487,50.0,-31.8
613,72.0,10.0,77.03,50.0,-32.5
614,72.0,15.0,66.117,50.0,-32.5
615,72.0,25.0,7.1066,50.0,-33.33
616,72.0,1.0,97.775,90.0,-35.0
617,72.0,5.0,84.92,90.0,-35.0
618,72.0,10.0,81.459,90.0,-33.35
619,72.0,15.0,68.356,90.0,-31.7
620,72.0,25.0,13.226,90.0,10.285
621,4.0,2.5,96.783,25.0,31.490000000000002
622,4.0,5.0,69.437,25.0,60.480000000000004
623,4.0,7.5,21.716,25.0,-17.75
624,4.0,10.0,15.013,25.0,-17.75
625,4.0,12.5,7.7748,25.0,-17.1
626,4.0,15.0,6.9705,25.0,-17.1
627,24.0,10.0,79.17,90.0,31.735
628,24.0,25.0,63.44,90.0,4.635
629,24.0,50.0,66.41,90.0,-31.7
630,24.0,100.0,68.69,90.0,-31.7
631,24.0,200.0,63.25,90.0,-31.7
632,24.0,10.0,27.99,90.0,71.7
633,24.0,25.0,25.73,90.0,71.7
634,24.0,50.0,18.21,90.0,71.7
635,24.0,100.0,17.87,90.0,71.7
636,24.0,200.0,14.34,90.0,71.7
637,24.0,0.3,85.833,14.3,-26.5
638,24.0,0.625,88.333,14.3,-26.5
639,24.0,1.25,87.222,14.3,-26.5
640,24.0,2.5,88.611,14.3,-26.5
641,24.0,5.0,44.167,14.3,-26.5
642,24.0,0.3,100.56,82.73,-31.9
643,24.0,0.625,100.83,82.73,-31.9
644,24.0,1.25,96.944,82.73,-31.9
645,24.0,2.5,73.889,82.73,-31.9
646,24.0,5.0,33.889,82.73,-31.9
647,48.0,0.3,86.28,14.3,-26.5
648,48.0,0.625,82.85,14.3,-26.5
649,48.0,1.25,81.794,14.3,-26.5
650,48.0,2.5,77.045,14.3,-26.5
651,48.0,5.0,22.691,14.3,-26.5
652,48.0,0.3,85.752,82.73,-31.9
653,48.0,0.625,85.752,82.73,-31.9
654,48.0,1.25,82.586,82.73,-31.9
655,48.0,2.5,30.343,82.73,-31.9
656,48.0,5.0,13.984,82.73,-31.9
657,3.0,5.0,99.752,10.0,-31.8
658,3.0,10.0,103.22,10.0,-31.8
659,3.0,25.0,99.257,10.0,-31.8
660,3.0,50.0,100.25,10.0,-31.8
661,3.0,75.0,97.525,10.0,-31.8
662,3.0,100.0,98.267,10.0,-31.8
663,3.0,150.0,99.01,10.0,-31.8
664,3.0,175.0,98.267,10.0,-31.8
665,3.0,200.0,96.535,10.0,-31.8
666,3.0,300.0,97.277,10.0,-31.8
667,3.0,5.0,96.923,10.9,-45.4
668,3.0,10.0,97.788,10.9,-45.4
669,3.0,25.0,100.1,10.9,-45.4
670,3.0,50.0,93.173,10.9,-45.4
671,3.0,75.0,94.615,10.9,-45.4
672,3.0,100.0,96.346,10.9,-45.4
673,3.0,150.0,91.442,10.9,-45.4
674,3.0,175.0,93.173,10.9,-45.4
675,3.0,200.0,94.615,10.9,-45.4
676,3.0,300.0,96.346,10.9,-45.4
677,6.0,5.0,94.554,10.0,-31.8
678,6.0,10.0,101.73,10.0,-31.8
679,6.0,25.0,100.5,10.0,-31.8
680,6.0,50.0,96.287,10.0,-31.8
681,6.0,75.0,95.05,10.0,-31.8
682,6.0,100.0,100.99,10.0,-31.8
683,6.0,150.0,96.535,10.0,-31.8
684,6.0,175.0,95.792,10.0,-31.8
685,6.0,200.0,96.04,10.0,-31.8
686,6.0,300.0,96.04,10.0,-31.8
687,6.0,5.0,100.38,10.9,-45.4
688,6.0,10.0,96.923,10.9,-45.4
689,6.0,25.0,101.54,10.9,-45.4
690,6.0,50.0,96.346,10.9,-45.4
691,6.0,75.0,100.1,10.9,-45.4
692,6.0,100.0,100.38,10.9,-45.4
693,6.0,150.0,101.54,10.9,-45.4
694,6.0,175.0,98.654,10.9,-45.4
695,6.0,200.0,101.25,10.9,-45.4
696,6.0,300.0,100.1,10.9,-45.4
697,24.0,5.0,96.535,10.0,-31.8
698,24.0,10.0,89.109,10.0,-31.8
699,24.0,25.0,99.257,10.0,-31.8
700,24.0,50.0,93.069,10.0,-31.8
701,24.0,75.0,99.01,10.0,-31.8
702,24.0,100.0,103.22,10.0,-31.8
703,24.0,150.0,107.67,10.0,-31.8
704,24.0,175.0,107.18,10.0,-31.8
705,24.0,200.0,106.19,10.0,-31.8
706,24.0,300.0,96.04,10.0,-31.8
707,24.0,5.0,96.058,10.9,-45.4
708,24.0,10.0,88.558,10.9,-45.4
709,24.0,25.0,98.654,10.9,-45.4
710,24.0,50.0,92.596,10.9,-45.4
711,24.0,75.0,98.654,10.9,-45.4
712,24.0,100.0,102.69,10.9,-45.4
713,24.0,150.0,107.31,10.9,-45.4
714,24.0,175.0,106.44,10.9,-45.4
715,24.0,200.0,105.87,10.9,-45.4
716,24.0,300.0,95.481,10.9,-45.4
717,3.0,5.0,108.02,10.0,-31.8
718,3.0,10.0,99.543,10.0,-31.8
719,3.0,25.0,102.54,10.0,-31.8
720,3.0,50.0,111.02,10.0,-31.8
721,3.0,75.0,101.79,10.0,-31.8
722,3.0,100.0,106.78,10.0,-31.8
723,3.0,150.0,106.78,10.0,-31.8
724,3.0,175.0,103.78,10.0,-31.8
725,3.0,200.0,111.52,10.0,-31.8
726,3.0,300.0,101.79,10.0,-31.8
727,3.0,5.0,102.39,10.9,-45.4
728,3.0,10.0,103.76,10.9,-45.4
729,3.0,25.0,108.99,10.9,-45.4
730,3.0,50.0,107.61,10.9,-45.4
731,3.0,75.0,112.02,10.9,-45.4
732,3.0,100.0,109.82,10.9,-45.4
733,3.0,150.0,81.743,10.9,-45.4
734,3.0,175.0,111.74,10.9,-45.4
735,3.0,200.0,108.44,10.9,-45.4
736,3.0,300.0,115.87,10.9,-45.4
737,6.0,5.0,93.555,10.0,-31.8
738,6.0,10.0,101.29,10.0,-31.8
739,6.0,25.0,100.04,10.0,-31.8
740,6.0,50.0,98.295,10.0,-31.8
741,6.0,75.0,100.04,10.0,-31.8
742,6.0,100.0,95.8,10.0,-31.8
743,6.0,150.0,100.04,10.0,-31.8
744,6.0,175.0,102.54,10.0,-31.8
745,6.0,200.0,98.046,10.0,-31.8
746,6.0,300.0,94.553,10.0,-31.8
747,6.0,5.0,96.881,10.9,-45.4
748,6.0,10.0,101.01,10.9,-45.4
749,6.0,25.0,104.59,10.9,-45.4
750,6.0,50.0,99.633,10.9,-45.4
751,6.0,75.0,101.56,10.9,-45.4
752,6.0,100.0,94.679,10.9,-45.4
753,6.0,150.0,104.04,10.9,-45.4
754,6.0,175.0,103.76,10.9,-45.4
755,6.0,200.0,107.34,10.9,-45.4
756,6.0,300.0,97.982,10.9,-45.4
757,24.0,5.0,108.52,10.0,-31.8
758,24.0,10.0,108.02,10.0,-31.8
759,24.0,25.0,107.28,10.0,-31.8
760,24.0,50.0,105.53,10.0,-31.8
761,24.0,75.0,112.77,10.0,-31.8
762,24.0,100.0,107.28,10.0,-31.8
763,24.0,150.0,104.28,10.0,-31.8
764,24.0,175.0,98.046,10.0,-31.8
765,24.0,200.0,96.05,10.0,-31.8
766,24.0,300.0,88.316,10.0,-31.8
767,24.0,5.0,96.881,10.9,-45.4
768,24.0,10.0,105.96,10.9,-45.4
769,24.0,25.0,104.59,10.9,-45.4
770,24.0,50.0,104.04,10.9,-45.4
771,24.0,75.0,107.06,10.9,-45.4
772,24.0,100.0,105.69,10.9,-45.4
773,24.0,150.0,104.31,10.9,-45.4
774,24.0,175.0,102.39,10.9,-45.4
775,24.0,200.0,96.33,10.9,-45.4
776,24.0,300.0,97.431,10.9,-45.4
777,3.0,10.0,97.431,100.0,-8.23
778,3.0,15.0,90.711,100.0,-8.23
779,3.0,20.0,89.526,100.0,-8.23
780,3.0,25.0,76.877,100.0,-8.23
781,3.0,30.0,71.146,100.0,-8.23
782,3.0,35.0,64.822,100.0,-8.23
783,3.0,40.0,61.66,100.0,-8.23
784,3.0,80.0,48.419,100.0,-8.23
785,6.0,10.0,95.85,100.0,-8.23
786,6.0,15.0,86.759,100.0,-8.23
787,6.0,20.0,81.225,100.0,-8.23
788,6.0,25.0,72.53,100.0,-8.23
789,6.0,30.0,68.577,100.0,-8.23
790,6.0,35.0,61.067,100.0,-8.23
791,6.0,40.0,57.115,100.0,-8.23
792,6.0,80.0,30.435,100.0,-8.23
793,24.0,10.0,79.249,100.0,-8.23
794,24.0,15.0,80.237,100.0,-8.23
795,24.0,20.0,72.134,100.0,-8.23
796,24.0,25.0,14.625,100.0,-8.23
797,24.0,30.0,11.858,100.0,-8.23
798,24.0,35.0,9.6838,100.0,-8.23
799,24.0,40.0,9.2885,100.0,-8.23
800,48.0,10.0,77.273,100.0,-8.23
801,48.0,15.0,72.134,100.0,-8.23
802,48.0,20.0,56.719,100.0,-8.23
803,48.0,25.0,10.079,100.0,-8.23
804,48.0,30.0,9.0909,100.0,-8.23
805,48.0,35.0,7.9051,100.0,-8.23
806,48.0,40.0,7.9051,100.0,-8.23
807,3.0,10.0,101.97,100.0,-8.23
808,3.0,15.0,92.358,100.0,-8.23
809,3.0,20.0,86.463,100.0,-8.23
810,3.0,25.0,65.066,100.0,-8.23
811,3.0,30.0,56.769,100.0,-8.23
812,3.0,35.0,56.769,100.0,-8.23
813,3.0,40.0,50.437,100.0,-8.23
814,3.0,80.0,61.572,100.0,-8.23
815,6.0,10.0,104.8,100.0,-8.23
816,6.0,15.0,100.44,100.0,-8.23
817,6.0,20.0,105.9,100.0,-8.23
818,6.0,25.0,76.856,100.0,-8.23
819,6.0,30.0,60.262,100.0,-8.23
820,6.0,35.0,56.114,100.0,-8.23
821,6.0,40.0,53.275,100.0,-8.23
822,6.0,80.0,59.825,100.0,-8.23
823,24.0,10.0,104.8,100.0,-8.23
824,24.0,15.0,100.0,100.0,-8.23
825,24.0,20.0,92.795,100.0,-8.23
826,24.0,25.0,75.109,100.0,-8.23
827,24.0,30.0,70.742,100.0,-8.23
828,24.0,35.0,68.996,100.0,-8.23
829,24.0,40.0,69.432,100.0,-8.23
830,24.0,80.0,49.345,100.0,-8.23
831,48.0,10.0,96.288,100.0,-8.23
832,48.0,15.0,100.44,100.0,-8.23
833,48.0,20.0,82.314,100.0,-8.23
834,48.0,25.0,63.755,100.0,-8.23
835,48.0,30.0,60.262,100.0,-8.23
836,48.0,35.0,59.607,100.0,-8.23
837,48.0,40.0,64.192,100.0,-8.23
838,48.0,80.0,55.677,100.0,-8.23
839,24.0,1.0,91.342,50.0,71.7
840,24.0,2.5,61.905,50.0,71.7
841,24.0,5.0,31.818,50.0,71.7
842,24.0,10.0,15.152,50.0,71.7
843,24.0,5.0,92.5,21.8,-19.285
844,24.0,10.0,80.208,21.8,48.5
845,24.0,15.0,63.958,21.8,23.6
846,24.0,20.0,45.417,21.8,53.8
847,24.0,25.0,36.458,21.8,25.67
848,24.0,5.0,97.292,31.4,-6.7299999999999995
849,24.0,10.0,93.958,31.4,20.02
850,24.0,15.0,87.083,31.4,-3.605
851,24.0,20.0,82.5,31.4,-3.605
852,24.0,25.0,74.167,31.4,-17.015
853,24.0,5.0,92.5,56.7,18.35
854,24.0,10.0,90.625,56.7,17.880000000000003
855,24.0,15.0,86.25,56.7,17.880000000000003
856,24.0,20.0,84.167,56.7,-18.745
857,24.0,25.0,79.792,56.7,-33.83
858,48.0,10.0,88.254,71.0,71.7
859,48.0,25.0,67.143,71.0,71.7
860,48.0,50.0,10.0,71.0,71.7
861,48.0,100.0,11.587,71.0,71.7
862,48.0,25.0,90.794,42.3,-8.72
863,48.0,50.0,94.921,42.3,-8.72
864,48.0,100.0,115.4,42.3,-8.72
865,48.0,200.0,103.17,42.3,-8.72
866,48.0,5.0,51.746,28.0,70.76
867,48.0,10.0,38.889,28.0,70.76
868,48.0,25.0,20.317,28.0,70.76
869,48.0,50.0,13.651,28.0,70.76
870,48.0,10.0,70.635,78.3,45.32
871,48.0,25.0,42.381,78.3,45.32
872,48.0,50.0,23.968,78.3,45.32
873,48.0,100.0,12.063,78.3,45.32
874,48.0,25.0,90.095,71.0,71.7
875,48.0,50.0,85.333,71.0,71.7
876,48.0,100.0,79.429,71.0,71.7
877,48.0,200.0,55.81,71.0,71.7
878,48.0,25.0,100.19,42.3,-8.72
879,48.0,50.0,93.333,42.3,-8.72
880,48.0,100.0,120.38,42.3,-8.72
881,48.0,200.0,96.952,42.3,-8.72
882,48.0,25.0,89.333,28.0,70.76
883,48.0,50.0,90.667,28.0,70.76
884,48.0,100.0,67.81,28.0,70.76
885,48.0,200.0,48.952,28.0,70.76
886,48.0,25.0,137.9,78.3,45.32
887,48.0,50.0,114.1,78.3,45.32
888,48.0,100.0,82.095,78.3,45.32
889,48.0,200.0,70.095,78.3,45.32
890,6.0,1.0,100.97,25.0,-8.72
891,6.0,5.0,97.742,25.0,-8.72
892,6.0,10.0,95.161,25.0,-8.72
893,6.0,50.0,96.935,25.0,-8.72
894,6.0,100.0,95.161,25.0,-8.72
895,24.0,1.0,97.742,25.0,-8.72
896,24.0,5.0,95.645,25.0,-8.72
897,24.0,10.0,92.19,25.0,-8.72
898,24.0,50.0,87.07,25.0,-8.72
899,24.0,100.0,84.34,25.0,-8.72
900,48.0,1.0,97.742,25.0,-8.72
901,48.0,5.0,92.742,25.0,-8.72
902,48.0,10.0,88.72,25.0,-8.72
903,48.0,50.0,82.34,25.0,-8.72
904,48.0,100.0,78.89,25.0,-8.72
905,48.0,0.1,89.374,15.84,-43.29
906,48.0,3.0,75.089,15.84,-43.29
907,48.0,10.0,64.109,15.84,-43.29
908,48.0,30.0,25.4,15.84,-43.29
909,48.0,60.0,14.71,15.84,-43.29
910,48.0,100.0,5.51,15.84,-43.29
911,48.0,0.1,91.499,24.59,-14.25
912,48.0,3.0,80.283,24.59,-14.25
913,48.0,10.0,64.7,24.59,-14.25
914,48.0,30.0,30.61,24.59,-14.25
915,48.0,60.0,16.6,24.59,-14.25
916,48.0,100.0,8.6,24.59,-14.25
917,48.0,0.1,93.152,81.8,-8.6
918,48.0,3.0,90.201,81.8,-8.6
919,48.0,10.0,76.505,81.8,-8.6
920,48.0,30.0,57.4,81.8,-8.6
921,48.0,60.0,37.61,81.8,-8.6
922,48.0,100.0,11.51,81.8,-8.6
923,48.0,0.1,87.557,15.84,-43.29
924,48.0,3.0,75.452,15.84,-43.29
925,48.0,10.0,60.52,15.84,-43.29
926,48.0,30.0,26.4,15.84,-43.29
927,48.0,60.0,15.11,15.84,-43.29
928,48.0,100.0,6.0,15.84,-43.29
929,48.0,0.1,90.724,24.59,-14.25
930,48.0,3.0,78.394,24.59,-14.25
931,48.0,10.0,64.706,24.59,-14.25
932,48.0,30.0,41.17,24.59,-14.25
933,48.0,60.0,20.61,24.59,-14.25
934,48.0,100.0,11.425,24.59,-14.25
935,48.0,0.1,91.629,81.8,-8.6
936,48.0,3.0,87.557,81.8,-8.6
937,48.0,10.0,78.733,81.8,-8.6
938,48.0,30.0,46.833,81.8,-8.6
939,48.0,60.0,31.674,81.8,-8.6
940,48.0,100.0,15.837,81.8,-8.6
941,24.0,1.0,100.0,114.0,12.05
942,24.0,5.0,98.305,114.0,28.8
943,24.0,25.0,77.331,114.0,10.285
944,24.0,50.0,65.89,114.0,-39.65
945,24.0,100.0,54.661,114.0,-39.65
946,24.0,200.0,45.975,114.0,-31.7
947,24.0,400.0,45.339,114.0,-5.95
948,24.0,1.0,106.28,114.0,71.7
949,24.0,5.0,100.0,114.0,71.7
950,24.0,25.0,91.498,114.0,-36.45
951,24.0,50.0,85.83,114.0,-28.16
952,24.0,100.0,80.162,114.0,-47.6
953,24.0,200.0,69.838,114.0,-31.7
954,24.0,400.0,52.227,114.0,-5.95
955,24.0,50.0,110.02,35.0,-10.14
956,24.0,100.0,123.42,23.0,-18.880000000000003
957,24.0,200.0,111.47,25.0,-13.0
958,24.0,50.0,114.7,45.0,-10.14
959,24.0,100.0,103.72,17.5,-22.4
960,24.0,200.0,108.89,25.0,-13.0
961,24.0,50.0,109.37,35.0,-10.14
962,24.0,100.0,108.89,7.0,-33.7
963,24.0,200.0,116.64,153.88,-20.5
964,24.0,0.5,91.139,5.0,-119.5
965,24.0,1.0,90.416,5.0,-88.25
966,24.0,2.0,87.523,5.0,-36.5
967,24.0,4.0,73.237,5.0,-43.7
968,24.0,0.5,90.958,30.0,-8.72
969,24.0,1.0,89.873,30.0,20.27
970,24.0,2.0,88.608,30.0,-8.72
971,24.0,4.0,87.523,30.0,-6.4750000000000005
972,24.0,0.5,98.192,70.0,28.8
973,24.0,1.0,93.49,70.0,28.8
974,24.0,2.0,91.628,70.0,28.8
975,24.0,4.0,89.873,70.0,28.8
976,24.0,6.25,87.687,20.0,26.400000000000002
977,24.0,12.5,83.582,20.0,37.28
978,24.0,25.0,79.291,20.0,20.27
979,24.0,50.0,82.276,20.0,8.29
980,24.0,6.25,96.828,50.0,34.605000000000004
981,24.0,12.5,94.403,50.0,-33.0
982,24.0,25.0,89.552,50.0,-33.4
983,24.0,50.0,57.649,50.0,18.35
984,24.0,6.25,101.49,100.0,-1.46
985,24.0,12.5,102.24,100.0,-4.845000000000001
986,24.0,25.0,95.522,100.0,-4.845000000000001
987,24.0,50.0,102.8,100.0,-28.16
988,24.0,6.25,98.556,25.0,-8.72
989,24.0,12.5,94.404,25.0,-8.72
990,24.0,25.0,74.007,25.0,-8.72
991,24.0,50.0,43.863,25.0,-8.72
992,24.0,6.25,88.267,30.0,-8.72
993,24.0,12.5,79.964,30.0,-8.72
994,24.0,25.0,78.7,30.0,-8.72
995,24.0,50.0,68.592,30.0,-8.72
996,24.0,6.25,100.36,80.0,-8.72
997,24.0,12.5,99.097,80.0,-8.72
998,24.0,25.0,93.682,80.0,-8.72
999,24.0,50.0,85.921,80.0,-8.72
1000,24.0,6.25,87.726,100.0,-8.72
1001,24.0,12.5,93.141,100.0,-8.72
1002,24.0,25.0,83.574,100.0,-8.72
1003,24.0,50.0,87.184,100.0,-8.72
1004,24.0,7.5,91.682,108.8,36.300000000000004
1005,24.0,15.0,91.682,39.33,-15.900000000000002
1006,24.0,30.0,92.25,27.5,-3.0500000000000003
1007,24.0,60.0,86.767,126.45,-10.85
1008,24.0,30.0,99.258,30.15,-5.7
1009,24.0,60.0,96.289,30.15,-11.0
1010,24.0,120.0,92.579,30.15,-13.5
1011,24.0,240.0,95.547,30.15,-19.285
1012,24.0,30.0,97.403,45.3,-27.55
1013,24.0,60.0,55.473,45.3,71.23
1014,24.0,120.0,3.8961,45.3,20.830000000000002
1015,24.0,240.0,4.4527,45.3,-35.035
1016,24.0,10.0,15.174,1.5,-22.7
1017,24.0,10.0,98.172,4.2,-8.72
1018,24.0,10.0,103.47,13.6,-36.2
1019,24.0,10.0,14.259,1.5,-27.0
1020,24.0,10.0,90.494,4.2,-8.72
1021,24.0,10.0,79.087,13.6,25.85
1022,24.0,0.001,90.573,1.5,-88.25
1023,24.0,0.01,87.616,1.5,-88.25
1024,24.0,0.1,75.97,1.5,-43.7
1025,24.0,1.0,56.562,1.5,10.400000000000002
1026,24.0,10.0,0.92421,1.5,-27.0
1027,24.0,0.001,80.591,1.5,-8.24
1028,24.0,0.01,66.174,1.5,17.6
1029,24.0,0.1,62.477,1.5,17.6
1030,24.0,1.0,38.078,1.5,-38.7
1031,24.0,50.0,96.19,6.0,-22.62
1032,24.0,100.0,75.873,6.0,-36.25
1033,24.0,200.0,47.09,6.0,-45.5
1034,24.0,400.0,37.249,6.0,-25.165
1035,24.0,50.0,98.836,12.5,6.529999999999999
1036,24.0,100.0,89.63,12.5,-9.18
1037,24.0,200.0,78.836,12.5,-23.19
1038,24.0,400.0,77.778,12.5,6.01
1039,24.0,50.0,94.301,6.0,-8.82
1040,24.0,100.0,93.534,6.0,-8.3
1041,24.0,200.0,89.918,6.0,-8.34
1042,24.0,400.0,81.479,6.0,20.02
1043,24.0,50.0,87.945,12.5,-27.06
1044,24.0,100.0,78.082,12.5,-36.25
1045,24.0,200.0,66.904,12.5,-9.18
1046,24.0,400.0,48.164,12.5,-13.315000000000001
1047,24.0,50.0,89.18,6.0,-8.36
1048,24.0,100.0,72.85,6.0,-27.0
1049,24.0,200.0,57.024,6.0,-26.23
1050,24.0,400.0,47.125,6.0,-8.915
1051,24.0,50.0,90.82,12.5,-27.06
1052,24.0,100.0,83.695,12.5,-17.86
1053,24.0,200.0,75.687,12.5,-9.64
1054,24.0,400.0,71.841,12.5,6.01
1055,24.0,50.0,86.145,6.0,-8.36
1056,24.0,100.0,69.675,6.0,-27.0
1057,24.0,200.0,43.917,6.0,-45.5
1058,24.0,400.0,32.09,6.0,-25.2
1059,24.0,50.0,91.84,12.5,-27.06
1060,24.0,100.0,84.568,12.5,-17.86
1061,24.0,200.0,75.632,12.5,-9.64
1062,24.0,400.0,68.711,12.5,6.01
1063,24.0,50.0,78.221,6.0,-43.0
1064,24.0,100.0,68.798,6.0,-27.0
1065,24.0,200.0,52.139,6.0,-8.395
1066,24.0,400.0,30.264,6.0,-25.2
1067,24.0,50.0,88.654,12.5,-27.06
1068,24.0,100.0,78.642,12.5,-36.25
1069,24.0,200.0,67.704,12.5,-9.18
1070,24.0,400.0,60.805,12.5,-12.4
1071,24.0,1.0,103.7,8.0,-56.9
1072,24.0,5.0,98.413,8.0,-56.9
1073,24.0,10.0,85.185,8.0,-56.9
1074,24.0,25.0,74.074,8.0,-56.9
1075,24.0,50.0,41.799,8.0,-56.9
1076,24.0,75.0,16.931,8.0,-56.9
1077,24.0,100.0,18.519,8.0,-56.9
1078,24.0,1.0,103.17,6.0,-50.9
1079,24.0,5.0,77.249,6.0,-50.9
1080,24.0,10.0,50.794,6.0,-50.9
1081,24.0,25.0,23.81,6.0,-50.9
1082,24.0,50.0,20.106,6.0,-50.9
1083,24.0,75.0,16.931,6.0,-50.9
1084,24.0,100.0,16.931,6.0,-50.9
1085,24.0,1.0,105.29,25.76,-46.8
1086,24.0,5.0,102.65,25.76,-46.8
1087,24.0,10.0,104.23,25.76,-46.8
1088,24.0,25.0,96.825,25.76,-46.8
1089,24.0,50.0,90.476,25.76,-46.8
1090,24.0,100.0,87.831,25.76,-46.8
1091,24.0,300.0,69.312,25.76,-46.8
1092,24.0,1.0,106.35,43.17,-58.0
1093,24.0,5.0,109.52,43.17,-58.0
1094,24.0,10.0,106.88,43.17,-58.0
1095,24.0,25.0,102.12,43.17,-58.0
1096,24.0,50.0,92.063,43.17,-58.0
1097,24.0,100.0,95.238,43.17,-58.0
1098,24.0,300.0,95.238,43.17,-58.0
1099,24.0,0.3,84.876,18.0,-23.1
1100,24.0,0.6,82.008,18.0,-23.1
1101,24.0,1.2,79.27,18.0,24.3
1102,24.0,2.5,75.88,18.0,-20.75
1103,24.0,5.0,72.49,18.0,26.650000000000002
1104,24.0,0.3,91.265,215.0,14.05
1105,24.0,0.6,90.352,215.0,14.05
1106,24.0,1.2,66.623,215.0,46.650000000000006
1107,24.0,2.5,44.329,215.0,17.700000000000003
1108,24.0,5.0,40.808,215.0,17.700000000000003
1109,24.0,0.3,99.739,6.3,39.64
1110,24.0,0.6,99.087,6.3,39.64
1111,24.0,1.2,97.523,6.3,-22.61
1112,24.0,2.5,97.262,6.3,1.1399999999999997
1113,24.0,5.0,96.61,6.3,-22.95
1114,24.0,0.3,98.705,18.0,-17.1
1115,24.0,0.6,100.29,18.0,-9.0
1116,24.0,1.2,100.58,18.0,-9.0
1117,24.0,2.5,96.547,18.0,-8.75
1118,24.0,5.0,72.806,18.0,26.650000000000002
1119,24.0,0.3,98.993,215.0,71.7
1120,24.0,0.6,84.748,215.0,6.5
1121,24.0,1.2,77.41,215.0,14.05
1122,24.0,2.5,76.691,215.0,14.05
1123,24.0,5.0,41.727,215.0,17.700000000000003
1124,24.0,0.3,100.0,6.3,49.5
1125,24.0,0.6,100.29,6.3,49.5
1126,24.0,1.2,99.424,6.3,39.64
1127,24.0,2.5,100.29,6.3,39.64
1128,24.0,5.0,98.705,6.3,-32.81
1129,24.0,0.3,94.416,18.0,-18.0
1130,24.0,0.6,92.893,18.0,-18.0
1131,24.0,1.2,88.198,18.0,24.3
1132,24.0,2.5,64.848,18.0,25.67
1133,24.0,5.0,66.244,18.0,25.67
1134,24.0,0.3,90.355,215.0,14.05
1135,24.0,0.6,88.198,215.0,6.5
1136,24.0,1.2,83.503,215.0,14.05
1137,24.0,2.5,23.223,215.0,57.25
1138,24.0,5.0,13.325,215.0,57.25
1139,24.0,0.3,99.112,6.3,39.64
1140,24.0,0.6,99.112,6.3,39.64
1141,24.0,1.2,99.112,6.3,39.64
1142,24.0,2.5,94.162,6.3,25.75
1143,24.0,5.0,95.305,6.3,11.0
1144,24.0,0.3,95.07,18.0,-8.100000000000001
1145,24.0,0.6,90.645,18.0,26.400000000000002
1146,24.0,1.2,81.037,18.0,-23.1
1147,24.0,2.5,80.025,18.0,-23.1
1148,24.0,5.0,74.21,18.0,-20.75
1149,24.0,0.3,99.747,215.0,71.7
1150,24.0,0.6,87.105,215.0,6.5
1151,24.0,1.2,82.427,215.0,14.05
1152,24.0,2.5,43.363,215.0,17.700000000000003
1153,24.0,5.0,26.422,215.0,17.700000000000003
1154,24.0,0.3,99.747,6.3,39.64
1155,24.0,0.6,100.0,6.3,49.5
1156,24.0,1.2,99.494,6.3,39.64
1157,24.0,2.5,98.736,6.3,39.64
1158,24.0,5.0,100.0,6.3,-32.81
1159,24.0,0.3,84.988,18.0,-23.1
1160,24.0,0.6,86.849,18.0,-90.55
1161,24.0,1.2,85.484,18.0,-23.1
1162,24.0,2.5,70.72,18.0,71.7
1163,24.0,5.0,54.094,18.0,71.7
1164,24.0,0.3,67.99,215.0,46.650000000000006
1165,24.0,0.6,16.377,215.0,57.25
1166,24.0,1.2,16.377,215.0,57.25
1167,24.0,2.5,14.764,215.0,57.25
1168,24.0,5.0,13.896,215.0,57.25
1169,24.0,0.3,94.541,6.3,25.75
1170,24.0,0.6,89.578,6.3,-67.75
1171,24.0,1.2,89.826,6.3,-67.75
1172,24.0,2.5,88.834,6.3,-67.75
1173,24.0,5.0,86.104,6.3,-12.75
1174,24.0,0.3,101.63,18.0,-8.75
1175,24.0,0.6,98.37,18.0,-8.100000000000001
1176,24.0,1.2,98.37,18.0,-8.100000000000001
1177,24.0,2.5,87.092,18.0,-90.55
1178,24.0,5.0,79.348,18.0,24.3
1179,24.0,0.3,97.011,215.0,39.1
1180,24.0,0.6,82.337,215.0,14.05
1181,24.0,1.2,66.168,215.0,46.650000000000006
1182,24.0,2.5,26.223,215.0,17.700000000000003
1183,24.0,5.0,17.12,215.0,57.25
1184,24.0,0.3,102.45,6.3,10.400000000000002
1185,24.0,0.6,101.36,6.3,-19.95
1186,24.0,1.2,103.26,6.3,10.400000000000002
1187,24.0,2.5,102.99,6.3,10.400000000000002
1188,24.0,5.0,103.26,6.3,71.23
1189,4.0,5.0,124.78,28.2,35.9
1190,4.0,10.0,128.04,28.2,35.9
1191,4.0,20.0,126.3,28.2,35.9
1192,4.0,40.0,101.09,28.2,35.9
1193,24.0,5.0,110.22,28.2,35.9
1194,24.0,10.0,98.261,28.2,35.9
1195,24.0,20.0,45.217,28.2,35.9
1196,24.0,40.0,20.0,28.2,35.9
